date,sp500,nasdaq,us_vix,move,hyg,lqd,dxy,us10y,crude,usdinr,sensex,nifty,india_vix
1996-01-01,,,,,,,84.76000213623047,,,,,,
1996-01-02,620.72998046875,1058.6500244140625,12.1899995803833,,,,84.69000244140625,5.586999893188477,,,,,
1996-01-03,621.3200073242188,1046.260009765625,12.100000381469727,,,,85.11000061035156,5.565999984741211,,,,,
1996-01-04,617.7000122070312,1029.8199462890625,13.779999732971191,,,,85.22000122070312,5.61899995803833,,,,,
1996-01-05,616.7100219726562,1033.469970703125,13.579999923706055,,,,85.05999755859375,5.677000045776367,,,,,
1996-01-08,618.4600219726562,1032.3699951171875,13.109999656677246,,,,85.04000091552734,5.672999858856201,,,,,
1996-01-09,609.4500122070312,998.8099975585938,15.210000038146973,,,,85.06999969482422,5.672999858856201,,,,,
1996-01-10,598.47998046875,990.2100219726562,16.399999618530273,,,,84.91000366210938,5.738999843597412,,,,,
1996-01-11,602.6900024414062,1011.0999755859375,14.6899995803833,,,,85.12999725341797,5.75600004196167,,,,,
1996-01-12,601.8099975585938,1008.22998046875,14.229999542236328,,,,85.05999755859375,5.751999855041504,,,,,
1996-01-15,599.8200073242188,988.5700073242188,14.989999771118164,,,,85.30999755859375,5.751999855041504,,,,,
1996-01-16,608.4400024414062,995.8699951171875,14.09000015258789,,,,85.98999786376953,5.656000137329102,,,,,
1996-01-17,606.3699951171875,998.2999877929688,14.25,,,,86.26000213623047,5.557000160217285,,,,,
1996-01-18,608.239990234375,1007.239990234375,13.579999923706055,,,,86.44000244140625,5.515999794006348,,,,,
1996-01-19,611.8300170898438,1018.4500122070312,12.699999809265137,,,,86.75,5.514999866485596,,,,,
1996-01-22,613.4000244140625,1029.43994140625,13.34000015258789,,,,86.7300033569336,5.589000225067139,,,,,
1996-01-23,612.7899780273438,1028.0400390625,13.5600004196167,,,,86.83000183105469,5.635000228881836,,,,,
1996-01-24,619.9600219726562,1043.4599609375,12.539999961853027,,,,87.19000244140625,5.5929999351501465,,,,,
1996-01-25,617.030029296875,1035.949951171875,12.9399995803833,,,,87.41999816894531,5.679999828338623,,,,,
1996-01-26,621.6199951171875,1040.9599609375,12.0,,,,87.63999938964844,5.625999927520752,,,,,
1996-01-29,624.219970703125,1042.510009765625,12.1899995803833,,,,87.41000366210938,5.671999931335449,,,,,
1996-01-30,630.1500244140625,1051.300048828125,12.420000076293945,,,,87.58999633789062,5.613999843597412,,,,,
1996-01-31,636.02001953125,1059.7900390625,12.529999732971191,,,,87.37999725341797,5.580999851226807,,,,,
1996-02-01,638.4600219726562,1069.4599609375,12.649999618530273,,,,87.18000030517578,5.60099983215332,,,,,
1996-02-02,635.8400268554688,1072.1099853515625,13.229999542236328,,,,87.01000213623047,5.642000198364258,,,,,
1996-02-05,641.4299926757812,1083.3399658203125,13.460000038146973,,,,86.2300033569336,5.679999828338623,,,,,
1996-02-06,646.3300170898438,1089.0799560546875,14.59000015258789,,,,86.41000366210938,5.65500020980835,,,,,
1996-02-07,649.9299926757812,1084.8800048828125,14.109999656677246,,,,86.6500015258789,5.658999919891357,,,,,
1996-02-08,656.0700073242188,1093.1700439453125,13.890000343322754,,,,86.76000213623047,5.6579999923706055,,,,,
