date,close,confidence
2013-08-14,58.01300048828125,0.0
2013-09-05,56.47999954223633,0.0
2013-09-27,59.084999084472656,0.0
2013-10-22,62.67399978637695,0.0
2013-11-13,60.62300109863281,0.0
2013-12-05,63.28099822998047,0.0
2013-12-27,63.87900161743164,0.0
2014-01-17,63.22700119018555,0.0
2014-02-07,61.60499954223633,0.0
2014-03-03,62.87900161743164,0.0
2014-03-25,65.97799682617188,0.0
2014-04-17,67.94300079345703,0.0
2014-05-13,71.06500244140625,0.0
2014-06-03,74.48500061035156,0.0
2014-06-24,76.25399780273438,0.0
2014-07-15,75.79900360107422,0.0
2014-08-06,77.41799926757812,0.0
2014-08-28,80.61199951171875,0.1111111111111111
2014-09-19,82.12699890136719,0.1111111111111111
2014-10-16,78.68599700927734,0.0
2014-11-12,84.8219985961914,0.0
2014-12-03,86.45700073242188,0.0
2014-12-24,83.20500183105469,0.0
2015-01-15,85.66300201416016,0.0
2015-02-06,87.99500274658203,0.0
2015-02-28,89.20378112792969,0.0
2015-03-23,85.95700073242188,0.0
2015-04-16,87.33599853515625,0.0
2015-05-08,82.16000366210938,0.0
2015-05-29,84.6449966430664,0.0
2015-06-19,82.9749984741211,0.0
2015-07-10,84.56400299072266,0.0
2015-07-31,86.4229965209961,0.0
2015-08-21,84.18499755859375,0.0
2015-09-11,78.97200012207031,0.0
2015-10-07,82.46800231933594,0.0
2015-10-29,82.33999633789062,0.0
2015-11-23,79.59600067138672,0.0
2015-12-15,77.7509994506836,0.0
2016-01-06,78.51599884033203,0.0
2016-01-28,75.05400085449219,0.0
2016-02-18,72.63999938964844,0.0
2016-03-11,75.89399719238281,0.0
2016-04-05,77.25399780273438,0.0
2016-04-29,79.51699829101562,0.0
2016-05-20,78.70899963378906,0.0
2016-06-10,83.12300109863281,0.0
2016-07-01,84.52799987792969,0.0
2016-07-25,87.95600128173828,0.0
2016-08-16,88.03199768066406,0.0
2016-09-07,90.88999938964844,0.0
2016-09-29,88.05799865722656,0.0
2016-10-24,88.77300262451172,0.0
2016-11-16,82.95500183105469,0.0
2016-12-07,82.7979965209961,0.0
2016-12-28,81.85700225830078,0.0
2017-01-18,85.74800109863281,0.0
2017-02-09,89.45600128173828,0.0
2017-03-03,91.04399871826172,0.0
2017-03-27,92.5999984741211,0.0
2017-04-19,93.072998046875,0.0
2017-05-11,96.11299896240234,0.0
2017-06-01,98.20700073242188,0.0
2017-06-22,98.5,0.0
2017-07-14,101.24400329589844,0.1111111111111111
2017-08-04,103.74700164794922,0.1111111111111111
2017-08-29,101.06900024414062,0.0
2017-09-19,104.47200012207033,0.0
2017-10-11,102.77100372314452,0.0
2017-11-02,107.43299865722656,0.2222222222222222
2017-11-23,106.58100128173828,0.1111111111111111
2017-12-14,105.4020004272461,0.0
2018-01-05,108.72000122070312,0.0
2018-01-29,114.6269989013672,0.0
2018-02-20,107.1760025024414,0.0
2018-03-14,107.81900024414062,0.0
2018-04-06,106.86900329589844,0.0
2018-04-27,110.5530014038086,0.0
2018-05-21,109.04900360107422,0.0
2018-06-11,112.2519989013672,0.0
2018-07-02,110.99700164794922,0.0
2018-07-23,115.33999633789062,0.1111111111111111
2018-08-13,118.2249984741211,0.2222222222222222
2018-09-05,119.89700317382812,0.2222222222222222
2018-09-28,114.13999938964844,0.1111111111111111
2018-10-23,106.21299743652344,0.0
2018-11-14,110.4020004272461,0.0
2018-12-06,111.01699829101562,0.0
2018-12-28,113.5709991455078,0.0
2019-01-18,113.83300018310548,0.0
2019-02-08,114.6439971923828,0.0
2019-03-05,114.88899993896484,0.0
2019-03-27,120.10199737548828,0.0
2019-04-22,121.86799621582033,0.0
2019-05-15,117.4980010986328,0.0
2019-06-06,124.6780014038086,0.0
2019-06-27,124.81700134277344,0.0
2019-07-18,122.55699920654295,0.0
2019-08-08,116.93499755859376,0.0
2019-09-03,114.51699829101562,0.0
2019-09-25,121.35900115966795,0.0
2019-10-18,123.45500183105467,0.0
2019-11-11,126.49099731445312,0.0
2019-12-03,126.95999908447266,0.0
2019-12-24,129.4499969482422,0.0
2020-01-15,131.00999450683594,0.0
2020-02-05,127.91000366210938,0.0
2020-02-27,123.63999938964844,0.0
2020-03-20,92.97000122070312,0.0
2020-04-16,95.68000030517578,0.0
2020-05-08,98.12000274658205,0.0
2020-06-01,104.41999816894533,0.0
2020-06-22,109.55999755859376,0.0
2020-07-13,114.86000061035156,0.0
2020-08-03,116.16999816894533,0.0
2020-08-24,122.0,0.0
2020-09-14,122.12999725341795,0.0
2020-10-06,124.02999877929688,0.0
2020-10-27,126.80999755859376,0.0
2020-11-17,137.38999938964844,0.0
2020-12-09,144.41000366210938,0.1111111111111111
2020-12-31,149.07000732421875,0.0
2021-01-21,156.02000427246094,0.2222222222222222
2021-02-12,162.1699981689453,0.2222222222222222
2021-03-05,159.66000366210938,0.0
2021-03-30,158.4199981689453,0.0
2021-04-23,153.86000061035156,0.0
2021-05-17,159.52000427246094,0.0
2021-06-07,168.6300048828125,0.0
2021-06-28,169.85000610351562,0.1111111111111111
2021-07-19,169.77000427246094,0.0
